"value_key","label_lt","meaning_lt","tension_lt","synonyms_lt"
"aiskumas","Aiškumas","Matyti esmę, kryptį ir kitą žingsnį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp aiškumo ir per didelio kontrolės poreikio.","skaidrumas, kryptis, supratimas, konkretumas"
"ambicija","Ambicija","Siekti aukštų tikslų ir didesnio masto.","Vidinė įtampa kyla, kai tau tenka rinktis tarp didelių tikslų ir poilsio bei santykių.","siekis, karjera, aukšti tikslai, veržlumas"
"artumas","Artumas","Jausti tikrą emocinį ryšį su žmonėmis.","Vidinė įtampa kyla, kai tau tenka rinktis tarp artumo poreikio ir baimės prarasti savarankiškumą.","ryšys, šiluma, intymumas, artimi santykiai"
"ateitis","Ateitis","Galvoti į priekį ir kurti ilgalaikę kryptį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ateities planavimo ir gyvenimo šiandien.","vizija, planavimas, perspektyva, ilgalaikiškumas"
"atkaklumas","Atkaklumas","Tęsti net tada, kai tampa sunku.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ištvermės ir užsispyrimo, kai reikėtų sustoti.","užsispyrimas, ištvermė, tęstinumas, ryžtas"
"atlaidumas","Atlaidumas","Paleisti nuoskaudą ir neįstrigti kaltinime.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atleidimo ir aiškių ribų saugojimo.","atleidimas, paleidimas, pakantumas, susitaikymas"
"atsakomybe","Atsakomybė","Prisiimti pareigas ir laikytis duoto žodžio.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pareigos kitiems ir savo laisvės.","pareiga, įsipareigojimas, patikimumas, rūpestingumas"
"atsistatymas","Atsistatymas","Grįžti į jėgas po krūvio ar streso.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atsigavimo ir spaudimo nuolat veikti.","poilsis, regeneracija, atsigavimas, resursai"
"atsparumas","Atsparumas","Išlikti tvirtam patiriant spaudimą ar nesėkmes.","Vidinė įtampa kyla, kai tau tenka rinktis tarp stiprybės ir poreikio pripažinti pažeidžiamumą.","tvirtumas, ištvermė, psichologinis stabilumas, atsitiesimas"
"atviras_bendravimas","Atviras bendravimas","Kalbėti aiškiai, tiesiai ir pagarbiai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tiesumo ir baimės sukelti konfliktą.","dialogas, nuoširdumas, aiškumas, komunikacija"
"atvirumas","Atvirumas","Priimti naujas idėjas, patirtis ir žmones.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atvirumo naujumui ir saugumo poreikio.","lankstumas, smalsumas, priėmimas, naujumas"
