"key","label","meaning","tension","phrases","active"
"laisve","Laisvė","Laisvė reiškia galimybę rinktis savo kryptį ir spręsti be perteklinės kontrolės. Svarbi erdvė, nepriklausomumas ir jausmas, kad gyveni pagal save.","Laisvė dažnai susiduria su saugumu ir įsipareigojimais.","Man svarbu pačiam rinktis., Nenoriu gyventi pagal svetimą planą., Noriu daugiau erdvės savo sprendimams.","yes"
"savarankiskumas","Savarankiškumas","Savarankiškumas reiškia gebėjimą atsiremti į save ir veikti be nuolatinės atramos iš kitų. Svarbu jausti, kad gali susitvarkyti savo jėgomis.","Savarankiškumas kartais apsunkina pagalbos priėmimą ir artumą.","Noriu stovėti ant savo kojų., Man svarbu susitvarkyti pačiam., Nenoriu nuo nieko priklausyti.","yes"
"drasa","Drąsa","Drąsa yra pasiryžimas veikti net tada, kai baisu ar nepatogu. Ji padeda ginti save, savo ribas ir tai, kas iš tikro svarbu.","Drąsa dažnai konkuruoja su ramybe ir saugumu.","Noriu nebetylėti., Man svarbu eiti ten, kur baisu., Noriu pasakyti, ką iš tikro galvoju.","yes"
"nuotykiai","Nuotykiai","Nuotykiai reiškia naujumą, gyvumą ir patirtis, kurios pažadina. Svarbu judėjimas, netikėtumas ir jausmas, kad gyvenimas nevyksta vien pagal rutiną.","Nuotykiai dažnai kertasi su pastovumu ir saugumu.","Noriu daugiau gyvumo., Mane traukia naujos patirtys., Nenoriu, kad viskas būtų visada taip pat.","yes"
"smalsumas","Smalsumas","Smalsumas yra noras suprasti, klausti ir atrasti daugiau. Jam svarbu atvirumas naujoms idėjoms, temoms ir žmonėms.","Smalsumas plečia akiratį, bet gali blaškyti nuo krypties.","Man įdomu, kaip viskas veikia., Vis noriu kapstyti giliau., Mėgstu klausti ir tyrinėti.","yes"
"augimas","Augimas","Augimas reiškia norą keistis, bręsti ir judėti pirmyn. Svarbu matyti, kad tampi platesnis, gilesnis ar stipresnis žmogus.","Augimas gali konfliktuoti su poilsiu ir priėmimu to, kas jau yra.","Noriu nesustoti vietoje., Man svarbu augti kaip žmogui., Ieškau, kaip tapti brandesniu ir stipresniu.","yes"
"meistryste","Meistrystė","Meistrystė yra noras daryti savo darbą labai gerai ir gilintis iki esmės. Čia svarbi kokybė, tikslumas ir nuolatinis šlifavimas.","Meistrystė dažnai lėtina tempą ir kelia aukštus reikalavimus.","Noriu savo sritį išmanyti giliai., Man svarbu daryti gerai, ne bet kaip., Smagu, kai matau, kad meistriškai valdau tai, ką darau.","yes"
"kuryba","Kūryba","Kūryba reiškia poreikį kurti, jungti idėjas ir išreikšti save naujai. Svarbi saviraiška, originalumas ir gyvas santykis su tuo, ką darai.","Kūryba dažnai priešinasi griežtai tvarkai ir rutinai.","Noriu kurti savo būdu., Man svarbu turėti erdvės idėjoms., Nenoriu vien tik kartoti tai, kas jau padaryta.","yes"
"pasiekimai","Pasiekimai","Pasiekimai reiškia rezultatą, progresą ir norą ką nors įveikti. Svarbu matyti aiškų judėjimą pirmyn ir apčiuopiamą rezultatą.","Pasiekimai gali stumti aukoti ramybę, santykius ar sveikatą.","Man svarbu matyti rezultatą., Noriu pasiekti tai, ką užsibrėžiau., Mane motyvuoja progresas.","yes"
"pripazinimas","Pripažinimas","Pripažinimas yra poreikis būti pastebėtam, įvertintam ir matomam. Svarbu žinoti, kad tavo pastangos ar talentas yra reikšmingi kitiems.","Pripažinimo poreikis gali atitraukti nuo autentiškumo.","Man svarbu, kad mano darbas būtų matomas., Noriu jausti įvertinimą., Skaudu, kai mano pastangų niekas nepastebi.","yes"
"itaka","Įtaka","Įtaka reiškia norą daryti poveikį, vesti ir keisti situacijas. Svarbu ne tik būti girdimam, bet ir realiai pajudinti žmones ar procesus.","Įtaka gali pereiti į kontrolę, jei pritrūksta pagarbos.","Noriu daryti realų poveikį., Man svarbu, kad mano balsas keistų situaciją., Nenoriu būti tik stebėtojas.","yes"
"tiesa","Tiesa","Tiesa reiškia sąžiningumą, faktų paisymą ir aiškų santykį su realybe. Svarbu nemeluoti sau ir kitiems, net kai tai nepatogu.","Tiesa gali skaudinti ir drumsti paviršinę ramybę.","Man svarbu sakyti tiesą., Nenoriu apsimetinėti, kad viskas gerai., Ieškau, kas čia iš tikro vyksta.","yes"
"autentiskumas","Autentiškumas","Autentiškumas reiškia gyvenimą taip, kad išorė kuo labiau sutaptų su vidumi. Svarbu būti savimi, o ne vaidinti patogią versiją kitiems.","Autentiškumas dažnai kertasi su prisitaikymu ir noru patikti.","Noriu būti savimi., Pavargau vaidinti tai, ko iš manęs tikimasi., Man svarbu, kad mano gyvenimas atitiktų mane.","yes"
